"Date","Price","Open","High","Low","Change %"
"Apr 22","5.860","5.671","5.922","5.651","3.92%"
"Mar 22","5.639","5.350","5.667","5.350","5.44%"
"Feb 22","5.348","5.346","5.425","5.230","1.89%"
"Jan 22","5.249","5.090","5.346","4.988","3.14%"
"Dec 21","5.089","5.093","5.271","5.057","0.26%"
"Nov 21","5.076","5.068","5.127","5.001","0.00%"
"Oct 21","5.076","5.232","5.239","5.061","-2.89%"
"Sep 21","5.227","5.034","5.262","5.028","3.71%"
"Aug 21","5.040","5.159","5.263","5.040","-2.59%"
"Jul 21","5.174","5.466","5.466","5.155","-4.78%"
"Jun 21","5.434","5.475","5.537","5.315","-1.65%"
"May 21","5.525","5.605","5.716","5.519","-2.61%"
"Apr 21","5.673","6.046","6.046","5.608","-4.99%"
"Mar 21","5.971","5.669","6.054","5.659","4.63%"
"Feb 21","5.707","5.165","5.883","5.165","9.86%"
"Jan 21","5.195","5.198","5.390","5.152","-1.01%"
"Dec 20","5.248","5.185","5.422","5.044","1.43%"
"Nov 20","5.174","5.504","5.596","5.171","-5.81%"
"Oct 20","5.493","5.797","5.823","5.481","-4.52%"
"Sep 20","5.753","5.581","5.753","5.495","3.47%"
"Aug 20","5.560","5.958","6.059","5.518","-6.77%"
"Jul 20","5.964","6.607","6.607","5.961","-9.25%"
"Jun 20","6.572","6.857","6.880","6.503","-4.03%"
"May 20","6.848","7.186","7.617","6.717","-6.11%"
"Apr 20","7.294","7.273","7.687","7.114","0.29%"
"Mar 20","7.273","6.216","7.637","5.697","19.94%"
"Feb 20","6.064","6.055","6.122","5.654","0.95%"
"Jan 20","6.007","6.433","6.457","5.988","-6.21%"
"Dec 19","6.405","6.547","6.649","6.378","-1.70%"
"Nov 19","6.516","6.443","6.553","6.398","1.29%"
"Oct 19","6.433","6.717","6.717","6.433","-4.20%"
"Sep 19","6.715","6.797","6.811","6.591","-0.97%"
"Aug 19","6.781","6.812","7.157","6.658","-0.50%"
"Jul 19","6.815","6.848","6.889","6.471","-0.83%"
"Jun 19","6.872","7.505","7.542","6.826","-9.12%"
"May 19","7.562","7.304","7.634","7.304","3.77%"
"Apr 19","7.287","7.151","7.287","7.086","1.76%"
"Mar 19","7.161","7.533","7.575","7.062","-4.98%"
"Feb 19","7.536","7.836","7.862","7.499","-4.26%"
"Jan 19","7.871","7.845","8.030","7.768","0.33%"
"Dec 18","7.845","7.902","8.187","7.732","-0.03%"
"Nov 18","7.847","8.387","8.453","7.827","-6.67%"
"Oct 18","8.408","7.852","8.578","7.852","3.06%"
"Sep 18","8.158","7.998","8.531","7.998","2.72%"
"Aug 18","7.942","7.669","7.942","7.502","3.72%"
"Jul 18","7.657","7.623","7.809","7.365","0.70%"
"Jun 18","7.604","6.920","7.664","6.823","11.28%"
"May 18","6.833","6.471","7.150","6.451","5.82%"
"Apr 18","6.457","5.909","6.733","5.909","8.83%"
"Mar 18","5.933","6.008","6.347","5.933","-1.18%"
"Feb 18","6.004","5.753","6.004","5.737","3.89%"
"Jan 18","5.779","6.124","6.124","5.529","-2.48%"
"Dec 17","5.926","6.215","6.215","5.926","-2.05%"
"Nov 17","6.050","6.372","6.419","6.029","-5.75%"
"Oct 17","6.419","6.116","6.483","6.084","4.85%"
"Sep 17","6.122","6.225","6.256","5.841","-2.14%"
"Aug 17","6.256","6.744","6.744","6.250","-7.33%"
"Jul 17","6.751","6.936","7.071","6.710","1.28%"
"Jun 17","6.666","6.701","6.756","6.637","-0.69%"
"May 17","6.712","6.661","6.861","6.651","0.64%"